country,release_year,count
"France, Belgium",2011,1
"France, Belgium",2014,1
"France, Belgium",2020,1
"France, Belgium, China, United States",2017,1
"France, Belgium, Italy",1991,1
"France, Belgium, Luxembourg, Cambodia,",2018,1
"France, Belgium, Spain",2013,1
Egypt,1982,1
"France, Belgium, United States",2011,1
"France, Brazil, Spain, Belgium",2020,1
"France, Canada",2016,1
"France, Canada",2017,1
"France, Canada",2018,1
"France, Canada, Belgium",2015,1
"France, Canada, China, Cambodia",2016,1
"France, Australia, Germany",2020,1
"France, Algeria",2020,1
France,2010,1
France,2009,1
Egypt,2005,1
"Egypt, Algeria",1979,1
"Egypt, Austria, United States",2018,1
"Egypt, France",1994,1
"Egypt, France",2016,1
Finland,2018,1
"Finland, France",2019,1
"Finland, Germany",2020,1
"Finland, Germany, Belgium",2019,1
"Finland, Sweden, Norway, Latvia, Germany",2016,1
"Finland, United States",2019,1
France,1974,1
France,2002,1
France,2004,1
France,2008,1
"Italy, France",1955,1
Zimbabwe,2017,1
"Italy, France",2015,1
"United Kingdom, Egypt, United States",2013,1
United States,1985,1
"United States,",2018,1
"United States, Argentina",2015,1
"United States, Argentina",2020,1
"United States, Australia",2005,1
"United States, Australia",2008,1
"United States, Australia",2018,1
"United States, Australia, China",2017,1
"United States, Australia, Mexico",2010,1
"United States, Australia, Samoa, United Kingdom",2017,1
"United States, Australia, South Africa, United Kingdom",2017,1
"United States, Belgium, Canada",2011,1
"United States, Bermuda, Ecuador",2014,1
"United States, Botswana",2016,1
"United States, Brazil",2012,1
"United States, Brazil, India, Uganda, China",2018,1
"United States, Brazil, South Korea, Mexico, Japan, Germany",2018,1
United States,1983,1
United States,1982,1
United States,1972,1
"United Kingdom, West Germany",1972,1
"United Kingdom, United States, Dominican Republic",2017,1
"United Kingdom, United States, France",2011,1
"United Kingdom, United States, France, Germany",2002,1
"United Kingdom, United States, Germany, Denmark, Belgium, Japan",2015,1
"United Kingdom, United States, Japan",2005,1
"United Kingdom, United States, Morocco",2014,1
"United Kingdom, United States, Spain, Germany, Greece, Canada",2012,1
United States,1947,1
United States,1971,1
United States,1954,1
United States,1955,1
United States,1956,1
United States,1962,1
United States,1963,1
United States,1965,1
United States,1969,1
"United States, Bulgaria",2016,1
"United States, Bulgaria",2017,1
"United States, Bulgaria",2020,1
"United States, Colombia",2018,1
"United States, Chile, Israel",2015,1
"United States, China",2008,1
"United States, China",2010,1
"United States, China",2019,1
"United States, China, Canada",2018,1
"United States, China, Colombia",2018,1
"United States, China, Hong Kong",2013,1
"United States, Colombia, Mexico",2017,1
"United States, Chile",2012,1
"United States, Czech Republic",2004,1
"United States, Czech Republic",2006,1
"United States, Czech Republic",2019,1
"United States, Czech Republic, United Kingdom",2005,1
"United States, Denmark",2017,1
"United States, East Germany, West Germany",1971,1
"United States, France",1992,1
"United States, Chile",2015,1
"United States, Canada, United Kingdom",2020,1
"United States, Cambodia",2016,1
"United States, Canada",2008,1
"United States, Canada",1989,1
"United States, Canada",1993,1
"United States, Canada",2002,1
"United States, Canada",2003,1
"United States, Canada",2004,1
"United States, Canada",2005,1
"United States, Canada",2006,1
"United States, Canada",2009,1
"United States, Canada, United Kingdom",2010,1
"United States, Canada, Belgium, United Kingdom",2012,1
"United States, Canada, China",2016,1
"United States, Canada, France",2009,1
"United States, Canada, Germany",2004,1
"United States, Canada, Indonesia, United Kingdom, China, Singapore",2017,1
"United States, Canada, Ireland",2016,1
"United States, Canada, Japan, Panama",2015,1
"United Kingdom, United States, Czech Republic",2018,1
"United Kingdom, United States, Canada",2017,1
"United Kingdom, United States, Australia",2015,1
"United Kingdom, India, Sweden",2017,1
"United Kingdom, Germany, United Arab Emirates, New Zealand",2016,1
"United Kingdom, Germany, United States",2008,1
"United Kingdom, Germany, United States, France",2020,1
"United Kingdom, Hong Kong",2016,1
"United Kingdom, Hungary, Australia",2019,1
"United Kingdom, India",2007,1
"United Kingdom, India",2012,1
"United Kingdom, India, United States",2013,1
"United Kingdom, Germany, Canada, United States",2002,1
"United Kingdom, India, United States",2017,1
"United Kingdom, Ireland",2007,1
"United Kingdom, Ireland",2017,1
"United Kingdom, Ireland, United States",2018,1
"United Kingdom, Israel, Russia",2016,1
"United Kingdom, Italy",2019,1
"United Kingdom, Italy",2020,1
"United Kingdom, Germany, France, United States",2011,1
"United Kingdom, Germany, Canada",2016,1
"United Kingdom, Japan, United States",2014,1
"United Kingdom, France, Canada, Belgium, United States",2014,1
"United Kingdom, France",2000,1
"United Kingdom, France",2011,1
"United Kingdom, France",2016,1
"United Kingdom, France, Belgium",2016,1
"United Kingdom, France, Belgium, Canada, United States",2017,1
"United Kingdom, France, Belgium, United States",2017,1
"United Kingdom, France, Belgium, United States, China",2020,1
"United Kingdom, France, Germany",2016,1
"United Kingdom, Germany",2020,1
"United Kingdom, France, Germany, Spain",2020,1
"United Kingdom, France, Germany, United States",2016,1
"United Kingdom, France, United States",2010,1
"United Kingdom, France, United States",2018,1
"United Kingdom, France, United States, Belgium",2017,1
"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany",2016,1
"United Kingdom, Germany",2018,1
"United Kingdom, Italy, Israel, Peru, United States",2016,1
"United Kingdom, Japan, United States",2019,1
"United Kingdom, United States, Australia",2010,1
"United Kingdom, United States",1993,1
"United Kingdom, Spain, United States, Germany",2018,1
"United Kingdom, Thailand",2006,1
"United Kingdom, Ukraine, United States",2015,1
"United Kingdom, United States",1962,1
"United Kingdom, United States",1968,1
"United Kingdom, United States",1971,1
"United Kingdom, United States",1991,1
"United Kingdom, United States",1995,1
"United Kingdom, Spain, Belgium",2016,1
"United Kingdom, United States",1999,1
"United Kingdom, United States",2002,1
"United Kingdom, United States",2004,1
"United Kingdom, United States",2005,1
"United Kingdom, United States",2007,1
"United Kingdom, United States",2009,1
"United Kingdom, United States",2014,1
"United Kingdom, Spain, United States",2016,1
"United Kingdom, Spain",2020,1
"United Kingdom, Jordan, Qatar, Iran",2016,1
"United Kingdom, Norway, Denmark, Germany, Sweden",2012,1
"United Kingdom, Kenya",2018,1
"United Kingdom, Lithuania",2015,1
"United Kingdom, Malawi",2019,1
"United Kingdom, Namibia, South Africa, Zimbabwe, United States",2017,1
"United Kingdom, New Zealand",2015,1
"United Kingdom, Nigeria",2011,1
"United Kingdom, Nigeria",2017,1
"United Kingdom, Pakistan",2018,1
"United Kingdom, South Korea",2015,1
"United Kingdom, Poland",2018,1
"United Kingdom, Poland, United States",2016,1
"United Kingdom, Russia",2016,1
"United Kingdom, Russia, United States",2015,1
"United Kingdom, Singapore",2017,1
"United Kingdom, South Africa",2016,1
"United Kingdom, South Africa, Australia, United States",2018,1
"United States, France",2010,1
"United States, France",2013,1
"United States, France",2016,1
"United States, United Kingdom",1944,1
"United States, Sweden",2017,1
"United States, Sweden, Norway",2011,1
"United States, Taiwan",2018,1
"United States, Thailand",2020,1
"United States, United Arab Emirates",2002,1
"United States, United Arab Emirates",2009,1
"United States, United Arab Emirates",2015,1
"United States, United Kingdom",1977,1
"United States, Sweden",2015,1
"United States, United Kingdom",1982,1
"United States, United Kingdom",1986,1
"United States, United Kingdom",1992,1
"United States, United Kingdom",2001,1
"United States, United Kingdom",2003,1
"United States, United Kingdom",2006,1
"United States, United Kingdom",2010,1
"United States, Sweden",2016,1
"United States, Spain, Italy",2016,1
"United States, United Kingdom",2012,1
"United States, Russia",2014,1
"United States, Nicaragua",2015,1
"United States, Nigeria",2018,1
"United States, Norway, Canada",2019,1
"United States, Philippines",2020,1
"United States, Poland",2019,1
"United States, Russia",2012,1
"United States, Russia",2013,1
"United States, Senegal",2015,1
"United States, Spain, Germany",2015,1
"United States, South Africa",2008,1
"United States, South Africa",2017,1
"United States, South Africa",2018,1
"United States, South Korea",2008,1
"United States, South Korea, China",2016,1
"United States, South Korea, China",2020,1
"United States, South Korea, Japan",2017,1
"United States, United Kingdom",2011,1
"United States, United Kingdom",2015,1
"United States, New Zealand, Japan",2007,1
"Uruguay, Guatemala",2019,1
Uruguay,2017,1
Uruguay,2019,1
Uruguay,2020,1
"Uruguay, Argentina",2019,1
"Uruguay, Argentina, Germany, Spain",2004,1
"Uruguay, Argentina, Spain",2018,1
"Uruguay, Germany",2019,1
"Uruguay, Spain, Mexico",2018,1
"United States, Uruguay",2015,1
Venezuela,2017,1
"Venezuela, Colombia",2007,1
Vietnam,2014,1
Vietnam,2015,1
Vietnam,2016,1
Vietnam,2019,1
Vietnam,2020,1
"United States, Venezuela",2016,1
"United States, United Kingdom, Spain, South Korea",2015,1
"United States, United Kingdom, Australia",2009,1
"United States, United Kingdom, France",2008,1
"United States, United Kingdom, Australia",2010,1
"United States, United Kingdom, Australia",2013,1
"United States, United Kingdom, Australia",2017,1
"United States, United Kingdom, Canada",2007,1
"United States, United Kingdom, Canada, China",2014,1
"United States, United Kingdom, Canada, Japan",2010,1
"United States, United Kingdom, Denmark, Sweden",2014,1
"United States, United Kingdom, France",2009,1
"United States, United Kingdom, Morocco",2015,1
"United States, United Kingdom, France",2015,1
"United States, United Kingdom, France, Germany, Japan",2013,1
"United States, United Kingdom, Germany",2005,1
"United States, United Kingdom, Germany",2019,1
"United States, United Kingdom, India",2020,1
"United States, United Kingdom, Italy",2001,1
"United States, United Kingdom, Japan",2016,1
"United States, New Zealand, United Kingdom",2011,1
"United States, New Zealand",2018,1
"United States, France",2018,1
"United States, Germany, United Kingdom",2003,1
"United States, Germany",2009,1
"United States, Germany",2011,1
"United States, Germany",2019,1
"United States, Germany, Australia",2005,1
"United States, Germany, Canada",1999,1
"United States, Germany, Canada",2001,1
"United States, Germany, Mexico",1998,1
"United States, Germany, United Kingdom, Australia",2009,1
"United States, Germany",2004,1
"United States, Germany, United Kingdom, Italy",2009,1
"United States, Greece, Brazil",2016,1
"United States, Greece, United Kingdom",2014,1
"United States, Hong Kong",1991,1
"United States, Hong Kong",2006,1
"United States, Hong Kong",2016,1
"United States, Hungary",2016,1
"United States, Germany",2007,1
"United States, Germany",2002,1
"United States, Iceland",2017,1
"United States, France, Japan",1996,1
"United States, France",2019,1
"United States, France",2020,1
"United States, France, Canada",2020,1
"United States, France, Canada, Belgium",2013,1
"United States, France, Canada, Lebanon, Qatar",2014,1
"United States, France, Canada, Spain",2003,1
"United States, France, Italy, United Kingdom",2010,1
"United States, France, Japan",1998,1
"United States, Germany",2000,1
"United States, France, Japan",1999,1
"United States, France, Japan",2019,1
"United States, France, Mexico",1993,1
"United States, France, Serbia",2014,1
"United States, France, South Korea, Indonesia",2016,1
"United States, France, United Kingdom, Japan",2005,1
"United States, Germany",1997,1
"United States, Hungary, Ireland, Canada",2013,1
"United States, India",2012,1
"United States, New Zealand",2005,1
"United States, Mexico",2006,1
"United States, Japan",2011,1
"United States, Japan",2017,1
"United States, Japan, Canada",2014,1
"United States, Japan, Canada",2018,1
"United States, Kazakhstan",2016,1
"United States, Malta, France, United Kingdom",2006,1
"United States, Mexico",1990,1
"United States, Mexico",2012,1
"United States, Japan",2009,1
"United States, Mexico",2016,1
"United States, Mexico",2018,1
"United States, Mexico, Colombia",2019,1
"United States, Mexico, Spain, Malta",2018,1
"United States, Morocco",2015,1
"United States, Netherlands, Japan, France",2002,1
"United States, New Zealand",2003,1
"United States, Japan",2010,1
"United States, Japan",2003,1
"United States, India",2013,1
"United States, Ireland, United Kingdom, India",2015,1
"United States, India",2014,1
"United States, India",2020,1
"United States, India, Bangladesh",2012,1
"United States, India, South Korea, China",2019,1
"United States, India, United Arab Emirates",2014,1
"United States, Indonesia",2015,1
"United States, Ireland",2010,1
"United States, Israel, Italy, South Africa",2013,1
"United States, Japan",1985,1
"United States, Israel, United Kingdom, Canada",2018,1
"United States, Italy",2002,1
"United States, Italy",2009,1
"United States, Italy",2011,1
"United States, Italy",2013,1
"United States, Italy",2016,1
"United States, Italy, United Kingdom, Liechtenstein",1965,1
"United Kingdom, Finland, Germany",2016,1
"United Kingdom, Denmark, Canada, Croatia",2012,1
"Italy, France",2016,1
"United Kingdom, Czech Republic, United States, Germany, Bahamas",2006,1
"Norway, Germany, Sweden",2017,1
"Norway, Iceland, United States",2018,1
"Norway, Sweden",2019,1
"Norway, United Kingdom, France, Ireland",2014,1
"Norway, United States",2014,1
Pakistan,2011,1
Pakistan,2012,1
Pakistan,2013,1
Pakistan,2014,1
"Pakistan, Norway, United States",2014,1
"Pakistan, United Arab Emirates",2018,1
"Pakistan, United States",2015,1
"Pakistan, United States",2020,1
"Paraguay, Argentina",2018,1
Peru,2015,1
Peru,2018,1
"Peru, Germany, Norway",2017,1
"Norway, Germany",2016,1
"Norway, Denmark, Sweden",2014,1
"Norway, Denmark, Netherlands, Sweden",2018,1
"New Zealand, United States",2003,1
"Netherlands, Germany, Denmark, United Kingdom",2017,1
"Netherlands, Germany, Italy, Canada",2017,1
"Netherlands, United States",2017,1
New Zealand,2019,1
"New Zealand, United Kingdom",2017,1
"New Zealand, United Kingdom, Australia",2007,1
"New Zealand, United States",2002,1
Nigeria,2009,1
"Norway, Denmark",2020,1
Nigeria,2012,1
Nigeria,2013,1
West Germany,1977,1
"Nigeria, United Kingdom",2012,1
Norway,2007,1
Norway,2013,1
Norway,2018,1
"Peru, United States, United Kingdom",2016,1
Philippines,2006,1
Philippines,2007,1
"Romania, France, Switzerland, Germany",2010,1
"Portugal, Spain",2016,1
"Puerto Rico, United States, Colombia",2018,1
Romania,2005,1
Romania,2014,1
Romania,2015,1
Romania,2016,1
"Romania, Bulgaria, Hungary",2015,1
"Romania, United Kingdom",2018,1
"Poland, West Germany",1985,1
"Romania, United States",2019,1
Russia,2013,1
Russia,2014,1
Russia,2016,1
Russia,2020,1
"Russia, Poland, Serbia",2018,1
"Russia, Spain",2015,1
"Portugal, France, Poland, United States",2016,1
"Poland, United States",2020,1
Philippines,2009,1
Poland,1970,1
Philippines,2010,1
Philippines,2011,1
"Philippines, Canada, United Kingdom, United States",2012,1
"Philippines, Qatar",2016,1
"Philippines, Singapore",2019,1
"Philippines, United States",2019,1
Poland,1967,1
Poland,1973,1
"Poland, United States",2019,1
Poland,1978,1
Poland,1982,1
Poland,1983,1
Poland,1990,1
Poland,2014,1
Poland,2015,1
"Poland,",1975,1
"Netherlands, Denmark, South Africa",2015,1
"Netherlands, Denmark, France, Germany",2016,1
"Netherlands, Belgium, United Kingdom, United States",2015,1
"Kenya, United States",2014,1
"Japan, Canada, United States",2018,1
"Japan, United States",2010,1
"Japan, United States",2017,1
"Japan, United States",2019,1
Jordan,2019,1
Kenya,2018,1
Kenya,2019,1
Kuwait,1981,1
Japan,2000,1
Kuwait,2018,1
Lebanon,1975,1
Lebanon,2005,1
Lebanon,2010,1
Lebanon,2013,1
Lebanon,2020,1
"Lebanon, Canada, France",1979,1
"Japan, Canada",2015,1
Japan,1999,1
"Lebanon, France",2003,1
"Italy, Turkey",2017,1
"Italy, France",2019,1
"Italy, France, Switzerland",2017,1
"Italy, Germany",2016,1
"Italy, India",2016,1
"Italy, South Africa, West Germany, Australia, United States",1986,1
"Italy, Switzerland, Albania, Poland",2018,1
"Italy, Switzerland, France, Germany",2018,1
"Italy, United Kingdom, France",2019,1
Japan,1997,1
"Italy, United States",1968,1
"Italy, United States, Argentina",2017,1
"Jamaica, United States",2018,1
Japan,1979,1
Japan,1981,1
Japan,1986,1
Japan,1995,1
"Lebanon, Canada, France",1980,1
"Lebanon, Qatar",2015,1
"Netherlands, Belgium, Germany, Jordan",2016,1
"Mexico, United States",2014,1
"Mexico, Argentina",2018,1
"Mexico, Finland",2019,1
"Mexico, France",2015,1
"Mexico, Netherlands",2018,1
"Mexico, Spain",2006,1
"Mexico, Spain",2016,1
"Mexico, United States",2010,1
"Mexico, United States",2016,1
Mexico,2007,1
"Mexico, United States",2021,1
"Mexico, United States, Spain, Colombia",2019,1
Namibia,2019,1
Netherlands,2006,1
Netherlands,2016,1
"Netherlands, Belgium",2016,1
"Netherlands, Belgium",2018,1
Mexico,2021,1
Mexico,2001,1
"Lebanon, United Arab Emirates, France, Switzerland, Germany",2014,1
Malaysia,2014,1
"Lebanon, United States, United Arab Emirates",2012,1
Malaysia,2003,1
Malaysia,2004,1
Malaysia,2006,1
Malaysia,2009,1
Malaysia,2011,1
Malaysia,2013,1
Malaysia,2016,1
Mexico,1999,1
Malaysia,2019,1
Malaysia,2020,1
"Malaysia, Singapore, Hong Kong",2015,1
"Mauritius, South Africa",2019,1
Mexico,1979,1
Mexico,1991,1
Mexico,1992,1
"Russia, United States",2014,1
"Russia, United States, China",2015,1
Saudi Arabia,2008,1
"Turkey, South Korea",2018,1
"Thailand, United States",2017,1
"Thailand, United States",2020,1
Turkey,2001,1
Turkey,2021,1
"Turkey, Azerbaijan",2013,1
"Turkey, France, Germany, Poland",2016,1
"Turkey, India",2016,1
"Turkey, United States",2010,1
"Thailand, Canada, United States",2014,1
"Turkey, United States",2017,1
Ukraine,2015,1
Ukraine,2017,1
United Arab Emirates,2014,1
United Arab Emirates,2015,1
United Arab Emirates,2020,1
"United Arab Emirates, Jordan",2015,1
"Thailand, China, United States",2019,1
Thailand,2013,1
"United Arab Emirates, Romania",2016,1
Taiwan,2010,1
"Switzerland, France",2016,1
"Switzerland, France, Belgium, United States",2017,1
"Switzerland, United Kingdom, United States",2013,1
"Switzerland, United States",2017,1
"Switzerland, Vatican City, Italy, Germany, France",2018,1
Taiwan,2003,1
Taiwan,2008,1
"Taiwan, China",2020,1
Thailand,2008,1
"Taiwan, China, France, United States",2018,1
"Taiwan, Hong Kong, United States, China",2000,1
"Taiwan, Malaysia",2020,1
Thailand,1999,1
Thailand,2002,1
Thailand,2004,1
Thailand,2005,1
"United Arab Emirates, Jordan, Lebanon",2014,1
"United Arab Emirates, United Kingdom, India",2018,1
Switzerland,2015,1
"United Kingdom, Canada, United States",2016,1
"United Kingdom, Brazil, Germany",2014,1
"United Kingdom, Canada",2009,1
"United Kingdom, Canada",2018,1
"United Kingdom, Canada, France, United States",2009,1
"United Kingdom, Canada, Italy",2016,1
"United Kingdom, Canada, Japan",2017,1
"United Kingdom, Canada, United States",2015,1
"United Kingdom, Canada, United States",2017,1
"United Kingdom, Belgium",2018,1
"United Kingdom, Canada, United States",2021,1
"United Kingdom, Canada, United States, Cayman Islands",2018,1
"United Kingdom, Canada, United States, Germany",2018,1
"United Kingdom, China",2020,1
"United Kingdom, China, United States",2014,1
"United Kingdom, China, United States, India",2017,1
"United Kingdom, Czech Republic, Germany, United States",2005,1
"United Kingdom, Belgium, Sweden",2019,1
"United Kingdom, Australia, Canada, United States",2010,1
"United Arab Emirates, United States",2014,1
United Kingdom,1989,1
"United Arab Emirates, United States",2018,1
"United Arab Emirates, United States, United Kingdom",2017,1
United Kingdom,1974,1
United Kingdom,1975,1
United Kingdom,1977,1
United Kingdom,1979,1
United Kingdom,1982,1
United Kingdom,1991,1
"United Kingdom, Australia",2020,1
United Kingdom,1993,1
United Kingdom,1996,1
United Kingdom,2000,1
United Kingdom,2002,1
United Kingdom,2005,1
United Kingdom,2021,1
"United Kingdom,",2014,1
Switzerland,2018,1
"Sweden, United States",2019,1
Saudi Arabia,2013,1
"South Africa, United States, New Zealand, Canada",2009,1
"South Africa, Angola",2020,1
"South Africa, China, United States",2017,1
"South Africa, Germany, Netherlands, France",2017,1
"South Africa, Nigeria",2017,1
"South Africa, United States",2002,1
"South Africa, United States",2018,1
"South Africa, United States, Germany",2016,1
South Korea,2004,1
"Somalia, Kenya, Sudan, South Africa, United States",2017,1
South Korea,2011,1
South Korea,2021,1
"South Korea, Canada, United States, China",2016,1
"South Korea, China",2016,1
"South Korea, China, United States",2015,1
"South Korea, Czech Republic",2013,1
"South Korea, France",2016,1
South Africa,2010,1
"Slovenia, Croatia, Germany, Czech Republic, Qatar",2016,1
"South Korea, United States",2009,1
"Serbia, United States",2017,1
Saudi Arabia,2014,1
Saudi Arabia,2016,1
"Saudi Arabia, Netherlands, Germany, Jordan, United Arab Emirates, United States",2012,1
"Saudi Arabia, Syria, Egypt, Lebanon, Kuwait",2017,1
"Saudi Arabia, United Arab Emirates",2006,1
Senegal,2019,1
"Serbia, South Korea, Slovenia",2016,1
"Serbia, United States",2019,1
"Singapore, United States",2019,1
Singapore,2013,1
Singapore,2018,1
Singapore,2020,1
"Singapore, France",2016,1
"Singapore, Japan, France",2018,1
"Singapore, Malaysia",2019,1
"Singapore, United States",2017,1
"South Korea, Japan",2018,1
"South Korea, United States",2017,1
"Sweden, United Kingdom, Finland",2012,1
"Spain, Portugal",2018,1
"Spain, Germany, Denmark, United States",2020,1
"Spain, Italy",2018,1
"Spain, Italy",2019,1
"Spain, Italy, Argentina",2016,1
"Spain, Mexico",2016,1
"Spain, Mexico",2017,1
"Spain, Mexico, France",2010,1
"Spain, Switzerland",2016,1
"Spain, Germany",2019,1
"Spain, Thailand, United States",2012,1
"Spain, United Kingdom",2017,1
"Spain, United Kingdom",2019,1
"Spain, United Kingdom, United States",2009,1
"Spain, United States",2016,1
"Sweden, Czech Republic, United Kingdom, Denmark, Netherlands",2005,1
"Sweden, Netherlands",2017,1
"Spain, Germany",2020,1
"Spain, Germany",2017,1
"South Korea, United States",2019,1
"Spain, Belgium, Switzerland, United States, China, United Kingdom",2017,1
"Soviet Union, India",1980,1
Spain,2008,1
Spain,2014,1
Spain,2021,1
"Spain, Argentina",2016,1
"Spain, Argentina",2017,1
"Spain, Belgium",2018,1
"Spain, Canada, United States",2017,1
"Spain, France, Uruguay",2015,1
"Spain, Colombia",2017,1
"Spain, Cuba",2016,1
"Spain, France",2019,1
"Spain, France, Canada",2019,1
"Spain, France, Canada, United States",2019,1
"Spain, France, Italy",2019,1
"Spain, France, United States",2019,1
Argentina,1985,1
